preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
am_logfit,42,2,8,16,256,0.76670902967453,0.8342545032501221,-0.8021319508552551,0.7938296794891357,0.49147459864616394,0.6981351971626282,0.2169078141450882,0.5458850860595703,-7.473554611206055,2.457052230834961,0,4.117480278015137,1.0591862201690674,5.800249099731445,2.88935270614568,0.08288361132144928,8,3.4657359027997265
am_scalar,42,2,8,16,256,0.7432346343994141,0.7929413914680481,-0.776283860206604,0.7722237706184387,0.47199878096580505,0.6859146356582642,0.2597665786743164,1.7520674467086792,1.7520674467086792,1.7520674467086792,0,4.117480278015137,1.0591862201690674,5.800249099731445,2.88935270614568,0.1300075650215149,8,3.4657359027997265
am_nobeta,42,2,8,16,256,0.7432347536087036,0.7929415106773376,-0.776283860206604,0.7722237706184387,0.47199875116348267,1.0273854732513428,0.8514747619628906,0.0,0.0,0.0,0,4.117480278015137,1.0591862201690674,5.800249099731445,2.88935270614568,13.755393028259277,8,3.4657359027997265
legacy,42,2,16,16,256,0.8638486266136169,0.9657601714134216,-0.6660820245742798,0.6574097275733948,0.3170201778411865,0.8284717798233032,0.3151963949203491,1.26301908493042,0.24248604476451874,1.731358289718628,0,1.0,7.218481101745056e-08,0.002671218244358897,4.780112934420047,43105844.0,16,2.772588722239781
legacy_fixed_solver,42,2,16,16,256,1.3563580513000488,1.464745044708252,-0.746706485748291,0.7380542159080505,0.4111306667327881,1.5067051649093628,0.9991159439086914,-8.18274974822998,-13.815510749816895,-4.924332141876221,5,1.0,7.218481101745056e-08,0.002671218244358897,4.780112934420047,1.4564590454101562,16,2.772588722239781
shift,42,2,16,16,256,0.8062476515769958,0.9174752235412598,-0.647061288356781,0.6353979706764221,0.317646861076355,0.9334548711776733,0.7938041687011719,-8.18264389038086,-13.815510749816895,-4.923969745635986,5,1.0,7.218481101745056e-08,0.002671218244358897,4.780112934420047,1.4564595222473145,16,2.772588722239781
am,42,2,16,16,256,0.8998838663101196,1.0069332122802734,-0.7364776134490967,0.7325809001922607,0.41776978969573975,0.7660693526268005,0.22737321257591248,-2.524629831314087,-13.815510749816895,2.1721503734588623,4,4.117480278015137,1.0591862201690674,2.978029251098633,2.498375135704837,4.17609977722168,16,2.772588722239781
am_over_m,42,2,16,16,256,0.8049476146697998,0.9481320381164551,-0.6816374659538269,0.673126757144928,0.3242596685886383,0.8632072806358337,0.710742712020874,-2.524629831314087,-13.815510749816895,2.1721503734588623,4,4.117480278015137,1.0591862201690674,2.978029251098633,2.498375135704837,4.17609977722168,16,2.772588722239781
am_logfit,42,2,16,16,256,0.7730852961540222,0.7716867327690125,-0.7541182637214661,0.7504587769508362,0.46250587701797485,0.7252954244613647,0.3255031406879425,-2.623209238052368,-13.815510749816895,2.414196729660034,2,4.117480278015137,1.0591862201690674,2.978029251098633,2.498375135704837,0.039378996938467026,16,2.772588722239781
am_scalar,42,2,16,16,256,0.8218206167221069,0.9043117165565491,-0.6261577606201172,0.6218451857566833,0.31475508213043213,0.7385488748550415,0.17475855350494385,1.13703453540802,1.1370346546173096,1.1370346546173096,0,4.117480278015137,1.0591862201690674,2.978029251098633,2.498375135704837,0.07539825141429901,16,2.772588722239781
am_nobeta,42,2,16,16,256,0.8218207955360413,0.9043102264404297,-0.6261578798294067,0.6218452453613281,0.3147551119327545,0.8451285362243652,0.6616025567054749,0.0,0.0,0.0,0,4.117480278015137,1.0591862201690674,2.978029251098633,2.498375135704837,4.17609977722168,16,2.772588722239781
legacy,42,2,32,16,256,1.0017635822296143,0.9973006248474121,-0.7617379426956177,0.7601745128631592,0.42194056510925293,1.4531638622283936,0.9903944730758667,-8.804705619812012,-13.815510749816895,-1.8468213081359863,16,1.0,7.218481101745056e-08,0.0017930936301127076,3.383094229857764,1396.0736083984375,16,2.0794415416798357
legacy_fixed_solver,42,2,32,16,256,1.6335413455963135,1.7691627740859985,-0.7336249947547913,0.7282150983810425,0.4885745942592621,1.5091222524642944,0.999254584312439,-9.934120178222656,-13.815510749816895,-3.6667022705078125,17,1.0,7.218481101745056e-08,0.0017930936301127076,3.383094229857764,0.2545170783996582,16,2.0794415416798357
shift,42,2,32,16,256,0.5546383857727051,0.5890831351280212,-0.5352309346199036,0.5247095227241516,0.2188778668642044,0.7748115062713623,0.7386057376861572,-9.934236526489258,-13.815510749816895,-3.6657068729400635,17,1.0,7.218481101745056e-08,0.0017930936301127076,3.383094229857764,0.2543331980705261,16,2.0794415416798357
