preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
legacy,42,2,32,16,256,1.1241334676742554,1.2158783674240112,-0.6967800855636597,0.6834216713905334,0.3947226405143738,1.5039423704147339,0.9983705878257751,-8.519586563110352,-13.815510749816895,-3.7466659545898438,12,1.0,6.34539887300889e-08,0.0016324295429512858,3.404690852676537,20.067523956298828,16,2.0794415416798357
legacy_fixed_solver,42,2,32,16,256,1.3976154327392578,1.4622459411621094,-0.6562463641166687,0.6357249617576599,0.5011223554611206,1.5091874599456787,0.9993115067481995,-10.14423942565918,-13.815510749816895,-4.105280876159668,18,1.0,6.34539887300889e-08,0.0016324295429512858,3.404690852676537,0.34194400906562805,16,2.0794415416798357
shift,42,2,32,16,256,0.5201053023338318,0.5338420867919922,-0.44891270995140076,0.44606855511665344,0.2114143669605255,0.7673053741455078,0.7653974294662476,-11.028404235839844,-13.815510749816895,-1.7589747905731201,24,1.0,6.34539887300889e-08,0.0016324295429512858,3.404690852676537,288.1612854003906,16,2.0794415416798357
am,42,2,32,16,256,0.6210103034973145,0.6595593094825745,-0.5493544936180115,0.5300754308700562,0.2599148750305176,0.5329075455665588,0.1282510608434677,0.021071799099445343,-13.815510749816895,1.5923675298690796,1,3.4024791717529297,0.8614373803138733,1.9349710941314697,1.6502958206237754,0.302934467792511,16,2.0794415416798357
am_over_m,42,2,32,16,256,0.5461210012435913,0.5495673418045044,-0.4940241873264313,0.49251270294189453,0.21023884415626526,0.5256908535957336,0.48486462235450745,0.021071799099445343,-13.815510749816895,1.5923675298690796,1,3.4024791717529297,0.8614373803138733,1.9349710941314697,1.6502958206237754,0.302934467792511,16,2.0794415416798357
am_logfit,42,2,32,16,256,0.6374463438987732,0.6726112961769104,-0.5549713373184204,0.5423113107681274,0.26664555072784424,0.5382723212242126,0.1363072395324707,-0.35078901052474976,-8.715253829956055,1.6557984352111816,0,3.4024791717529297,0.8614373803138733,1.9349710941314697,1.6502958206237754,0.002984126564115286,16,2.0794415416798357
am_scalar,42,2,32,16,256,0.5491978526115417,0.5379470586776733,-0.485567182302475,0.48444604873657227,0.20729154348373413,0.4306122660636902,0.09168938547372818,0.7000269293785095,0.7000268697738647,0.7000268697738647,0,3.4024791717529297,0.8614373803138733,1.9349710941314697,1.6502958206237754,0.02632157877087593,16,2.0794415416798357
am_nobeta,42,2,32,16,256,0.5491980910301208,0.5379473567008972,-0.4855671226978302,0.4844459891319275,0.20729155838489532,0.5289143323898315,0.48444604873657227,0.0,0.0,0.0,0,3.4024791717529297,0.8614373803138733,1.9349710941314697,1.6502958206237754,0.302934467792511,16,2.0794415416798357
legacy,43,0,8,16,256,1.3492814302444458,1.3515008687973022,-0.8388078212738037,0.8354770541191101,0.4037936329841614,1.4610743522644043,3.0384433269500732,2.0821950435638428,0.9947987794876099,3.7368829250335693,0,1.0,9.973764747428504e-08,0.002216602908447385,8.639088204292415,9682693120.0,8,3.4657359027997265
legacy_fixed_solver,43,0,8,16,256,1.3909130096435547,1.5116642713546753,-0.7794196605682373,0.7767959237098694,0.46247512102127075,1.46912682056427,0.9995200037956238,-8.093570709228516,-13.815510749816895,-4.889505863189697,2,1.0,9.973764747428504e-08,0.002216602908447385,8.639088204292415,3.7545204162597656,8,3.4657359027997265
shift,43,0,8,16,256,0.8023867011070251,0.9295932650566101,-0.6961644887924194,0.6864908337593079,0.3780311346054077,1.0304913520812988,0.8529756665229797,-6.508069038391113,-13.815510749816895,-0.8405938744544983,3,1.0,9.973764747428504e-08,0.002216602908447385,8.639088204292415,14069.5927734375,8,3.4657359027997265
am,43,0,8,16,256,0.7182556986808777,0.7734861969947815,-0.7228736877441406,0.704522967338562,0.38883399963378906,0.582659125328064,0.2951797842979431,0.9317424297332764,0.18143120408058167,1.489106297492981,0,0.7686948776245117,0.395877480506897,3.2184360027313232,3.2540258137748763,0.7247443199157715,8,3.4657359027997265
am_over_m,43,0,8,16,256,0.8123701214790344,0.912501871585846,-0.7219816446304321,0.718776524066925,0.37259960174560547,0.843712329864502,0.7245267629623413,0.9317424297332764,0.18143120408058167,1.489106297492981,0,0.7686948776245117,0.395877480506897,3.2184360027313232,3.2540258137748763,0.7247443199157715,8,3.4657359027997265
am_logfit,43,0,8,16,256,0.7777495980262756,0.9111716151237488,-0.7024301290512085,0.6960374712944031,0.3841458559036255,0.6118346452713013,0.2434569001197815,1.1977651119232178,0.4729131758213043,1.999483585357666,0,0.7686948776245117,0.395877480506897,3.2184360027313232,3.2540258137748763,0.09850861877202988,8,3.4657359027997265
am_scalar,43,0,8,16,256,0.8220409750938416,0.9199109077453613,-0.7233679890632629,0.7199561595916748,0.3725249767303467,0.6947062015533447,0.22503170371055603,1.2601302862167358,1.2601302862167358,1.2601302862167358,0,0.7686948776245117,0.395877480506897,3.2184360027313232,3.2540258137748763,0.17793110013008118,8,3.4657359027997265
