protocol,n_fit_queries,n_eval_queries,beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
in-sample,48,48,none,16.0,16,2,0.04264895245432854,0.38960587978363037,0.34695692732930183
in-sample,48,48,none,16.0,16,3,0.1289432793855667,0.5461033582687378,0.4171600788831711
in-sample,48,48,none,16.0,32,0,0.05091262236237526,0.1675434112548828,0.11663078889250755
in-sample,48,48,none,16.0,32,1,0.06790053099393845,0.3079385459423065,0.24003801494836807
in-sample,48,48,none,16.0,32,2,0.028154687955975533,0.27016305923461914,0.2420083712786436
in-sample,48,48,none,16.0,32,3,0.0720692127943039,0.380656361579895,0.3085871487855911
in-sample,48,48,none,16.0,64,0,0.053283292800188065,0.12701545655727386,0.0737321637570858
in-sample,48,48,none,16.0,64,1,0.05598244443535805,0.2226727455854416,0.16669030115008354
in-sample,48,48,none,16.0,64,2,0.038010258227586746,0.24046927690505981,0.20245901867747307
in-sample,48,48,none,16.0,64,3,0.05783511698246002,0.2559095323085785,0.19807441532611847
in-sample,48,48,none,16.0,128,0,0.07483762502670288,0.11498624831438065,0.040148623287677765
in-sample,48,48,none,16.0,128,1,0.08454922586679459,0.21693529188632965,0.13238606601953506
in-sample,48,48,none,16.0,128,2,0.06082824990153313,0.2353658676147461,0.17453761771321297
in-sample,48,48,none,16.0,128,3,0.07325608283281326,0.25673046708106995,0.18347438424825668
