seed,focus_strength,budget,nominal_compression_ratio,projection_dim,reference_projection_dim,M,n_fit_queries,n_eval_queries,selection_jaccard_vs_noprojection,selection_jaccard_vs_max_dp,jl_distortion_mean,jl_distortion_p95,nearest_repr_dist_median,nearest_eval_dist_median,coverage_ratio,coverage_frac_within_radius,eps_mass_abscommon_median,eps_mass_abscommon_mean,eps_out_rel_median,eps_out_rel_mean
43,8.0,32,0.125,8,64,32,48,48,0.5238095238095238,0.6410256410256411,0.1861752519345507,0.45014052476054445,5.935412603264948,5.88539565676886,1.0084984849638026,0.3958333333333333,0.08873882963012834,0.12438403081832222,0.3126112090356879,0.33185326358896977
43,8.0,32,0.125,16,64,32,48,48,0.5609756097560976,0.6842105263157895,0.13344839395092456,0.32058210942820886,5.984133620403608,5.88539565676886,1.0167767758349724,0.375,0.09342471479474453,0.10547948738537742,0.32041905742127935,0.35058155049000606
43,8.0,32,0.125,32,64,32,48,48,0.5609756097560976,0.5609756097560976,0.10301950784609118,0.24851900855438802,5.994731969519617,5.88539565676886,1.018577563706187,0.375,0.10128433976963928,0.11739803465947207,0.3410793839289544,0.3461786417885832
43,8.0,32,0.125,64,64,32,48,48,0.7297297297297297,1.0,0.07035856632988328,0.16234772280391896,5.986545155181353,5.88539565676886,1.0171865247997631,0.3541666666666667,0.07110053911566429,0.1062128070229898,0.3320103901380586,0.36873559595581124
43,8.0,32,0.125,,64,32,48,48,1.0,,0.0,0.0,6.014130878375273,5.88539565676886,1.0218736732605787,0.3125,,,,
43,8.0,64,0.25,4,64,32,48,48,0.4883720930232558,0.5609756097560976,0.27797973333656256,0.6502844902377423,5.935412603264948,5.88539565676886,1.0084984849638026,0.4166666666666667,0.04224113124348336,0.05476394558117643,0.281009420780601,0.27359423779670755
43,8.0,64,0.25,8,64,32,48,48,0.5238095238095238,0.6410256410256411,0.1861752519345507,0.45014052476054445,5.935412603264948,5.88539565676886,1.0084984849638026,0.3958333333333333,0.04626991953995673,0.06249685013980705,0.2903736981242306,0.28304911152968104
43,8.0,64,0.25,16,64,32,48,48,0.5609756097560976,0.6842105263157895,0.13344839395092456,0.32058210942820886,5.984133620403608,5.88539565676886,1.0167767758349724,0.375,0.05276447437765902,0.07230401403774163,0.28628514360535395,0.2957213398523599
43,8.0,64,0.25,32,64,32,48,48,0.5609756097560976,0.5609756097560976,0.10301950784609118,0.24851900855438802,5.994731969519617,5.88539565676886,1.018577563706187,0.375,0.054661138384641594,0.06714023474319233,0.2831101926139426,0.2786246031709394
43,8.0,64,0.25,64,64,32,48,48,0.7297297297297297,1.0,0.07035856632988328,0.16234772280391896,5.986545155181353,5.88539565676886,1.0171865247997631,0.3541666666666667,0.042802325897500056,0.061027659225260246,0.2782453337351812,0.2903733255333463
43,8.0,64,0.25,,64,32,48,48,1.0,,0.0,0.0,6.014130878375273,5.88539565676886,1.0218736732605787,0.3125,,,,
44,0.0,16,0.0625,4,64,32,48,48,0.45454545454545453,0.5609756097560976,0.2778658969579374,0.7157429505415553,5.941706145046396,5.928398505771789,1.0022447275196915,0.4583333333333333,0.32071798072655666,0.3477063872923531,0.8140267062517094,0.8213637547593219
44,0.0,16,0.0625,8,64,32,48,48,0.5609756097560976,0.4883720930232558,0.20288094702627826,0.4915995014617762,5.8999469805370195,5.928398505771789,0.9952008075691833,0.5208333333333334,0.3207753258592912,0.3226092418566429,0.7780390491284312,0.8001937387042434
44,0.0,16,0.0625,16,64,32,48,48,0.45454545454545453,0.4883720930232558,0.1382168959537272,0.3487929223862236,5.914080894141691,5.928398505771789,0.9975849107280563,0.5,0.3308864880625526,0.36497109019004786,0.8565040515987893,0.8636851433631
44,0.0,16,0.0625,32,64,32,48,48,0.45454545454545453,0.6842105263157895,0.10205292717987968,0.25143879937143243,6.070612828124248,5.928398505771789,1.0239886576809871,0.3125,0.3312147770393256,0.34068291943608425,0.7958874690275737,0.82115623874648
44,0.0,16,0.0625,64,64,32,48,48,0.5609756097560976,1.0,0.06967764516733385,0.16882368910186418,6.062474723118611,5.928398505771789,1.0226159252309481,0.3958333333333333,0.32525754333758133,0.3670097772986467,0.771568560761469,0.8161326007345937
44,0.0,16,0.0625,,64,32,48,48,1.0,,0.0,0.0,6.079767813109818,5.928398505771789,1.0255329170583982,0.3958333333333333,,,,
44,0.0,32,0.125,4,64,32,48,48,0.45454545454545453,0.5609756097560976,0.2778658969579374,0.7157429505415553,5.941706145046396,5.928398505771789,1.0022447275196915,0.4583333333333333,0.2700957463584707,0.2712764640291277,0.8563513255290669,0.9492909455320806
